"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","N_01","N_02","N_03","N_04","N_05","N_06_A","N_06_B","N_07","N_08","N_09","N_09_TEXTO","N_10_B","N_10_C","N_10_D","N_10_E","N_10_F","N_10_G","N_10_I"
2530,"66001",3,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4278,"66001",1,1,2,8,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5453,"66001",2,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5974,"66001",1,1,2,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6181,"66001",1,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8150,"66001",2,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28993,"66170",2,1,2,1,3,1,1,2,NA,NA,NA,NA,NA,15000,"QUINCE MIL PESOS",NA,NA,1,NA,NA,NA,NA
34878,"66170",2,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36151,"66001",2,1,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40541,"66001",2,1,4,1,3,1,2,1,1,1,NA,1,2,10000,"DIEZ MIL",NA,NA,1,NA,NA,NA,NA
42645,"66001",1,1,2,2,3,1,1,2,NA,NA,NA,NA,NA,8000,"OCHO MIL PESOS",NA,NA,1,NA,NA,1,NA
45229,"66682",1,1,3,6,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45815,"66001",2,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46178,"66001",1,1,5,3,3,1,1,2,NA,NA,NA,NA,NA,10000,"DIEZ MIL",NA,NA,NA,1,NA,NA,NA
46204,"66001",1,1,5,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46206,"66001",1,1,5,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47973,"66001",3,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48380,"66001",2,1,4,4,3,1,3,1,5,1,NA,2,1,20000,"VEITE MIL PESOS",NA,NA,1,NA,NA,NA,NA
50507,"66170",2,1,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
