"DIRECTORIO","Depmuni","TIPO","SERVICIO","ESTRATO","TOTAL_PERSONAS","L_01","L_02","L_03","L_04","L_05","L_06","L_07","L_08","L_08_VALOR","L_08_TEXTO","L_09_A","L_09_B","L_09_C","L_09_D","L_09_E","L_09_F","L_09_G","L_09_H","L_09_I","L_10","L_10_A","L_10_B","L_11_A","L_11_B","L_11_C","L_11_D","L_11_E","L_11_F","L_11_G","L_11_H","L_11_I","L_11_J","L_11_K","L_11_L","L_11_M","L_11_N","L_11_O"
2565,"50001",2,1,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2891,"50001",1,1,2,5,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3395,"50313",1,1,1,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3409,"50313",1,1,1,1,2,1,2,2,NA,NA,"01",2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1
3441,"50313",1,1,2,4,1,1,2,1,4,40000,"04",1,10000,"DIEZ MIL PESOS",NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
4166,"50001",2,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4270,"50001",3,1,1,1,2,1,1,2,NA,NA,"01",1,10000,"DIEZ MIL PESOS",NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
9159,"50006",2,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9183,"50001",1,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9642,"50001",2,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9999,"50313",1,1,1,2,3,1,1,2,NA,NA,"01",1,25000,"VEINTICINCO MIL PESOS",NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17349,"50001",1,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18159,"50001",1,1,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20547,"50001",2,1,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20775,"50001",2,1,3,4,3,1,3,1,1,20000,"1",1,20000,"VEINTE MIL",NA,NA,1,1,1,1,1,NA,NA,2,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22403,"50001",2,1,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30526,"50001",1,1,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31055,"50001",1,1,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31125,"50001",2,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31126,"50001",1,1,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35733,"50001",2,1,4,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37201,"50001",3,1,3,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
