"DIRECTORIO","M_01","M_02","Depmuni","ESTRATO","D_01","D_02","D_08","D2_01","D2_05","D2_06","D2_07","SEXO","EDAD","PARENTESCO"
1535,3,1,76001,1,1,1,4,5,5,1,1,1,86,1
1535,3,1,76001,1,1,1,4,5,5,1,1,2,78,2
1535,3,1,76001,1,1,1,4,5,5,1,1,1,34,3
8185,3,2,76001,4,1,1,5,5,4,1,1,1,51,1
10585,3,2,76001,3,1,8,5,9,6,1,1,1,19,7
10585,3,2,76001,3,1,8,5,9,6,1,1,2,55,6
10585,3,2,76001,3,1,8,5,9,6,1,1,2,38,8
10585,3,2,76001,3,1,8,5,9,6,1,1,1,32,2
10585,3,2,76001,3,1,8,5,9,6,1,1,2,28,1
13200,3,2,76001,3,1,1,4,9,5,1,1,1,50,1
20465,3,2,76001,3,1,8,5,5,7,1,1,2,38,3
20465,3,2,76001,3,1,8,5,5,7,1,1,2,82,1
20465,3,2,76001,3,1,8,5,5,7,1,1,2,5,5
20465,3,2,76001,3,1,8,5,5,7,1,1,2,74,8
20465,3,2,76001,3,1,8,5,5,7,1,1,1,43,8
29421,3,2,76001,3,1,4,4,9,3,1,1,1,60,1
42437,3,2,76001,1,2,4,3,9,6,1,2,2,51,2
42437,3,2,76001,1,2,4,3,9,6,1,2,1,29,3
42437,3,2,76001,1,2,4,3,9,6,1,2,1,51,1
43140,3,2,76001,2,1,8,3,1,3,1,1,1,56,8
43140,3,2,76001,2,1,8,3,1,3,1,1,1,32,3
43140,3,2,76001,2,1,8,3,1,3,1,1,2,66,1
47039,3,2,76001,1,1,1,5,5,6,1,1,1,55,1
49051,3,2,76001,3,1,1,3,5,3,1,1,1,21,3
49051,3,2,76001,3,1,1,3,5,3,1,1,1,61,1
49051,3,2,76001,3,1,1,3,5,3,1,1,2,41,2
49259,3,2,76111,2,2,5,3,5,3,1,1,1,63,1
51531,3,2,76147,2,1,1,5,9,5,1,1,1,28,8
51531,3,2,76147,2,1,1,5,9,5,1,1,2,79,6
51531,3,2,76147,2,1,1,5,9,5,1,1,2,32,3
51531,3,2,76147,2,1,1,5,9,5,1,1,1,42,7
51531,3,2,76147,2,1,1,5,9,5,1,1,2,56,1
51531,3,2,76147,2,1,1,5,9,5,1,1,1,7,5
51531,3,2,76147,2,1,1,5,9,5,1,1,1,49,4
51531,3,2,76147,2,1,1,5,9,5,1,1,2,11,5
51788,3,1,76001,1,2,7,4,9,4,3,2,2,21,3
51788,3,1,76001,1,2,7,4,9,4,3,2,2,1,5
51788,3,1,76001,1,2,7,4,9,4,3,2,2,5,3
51788,3,1,76001,1,2,7,4,9,4,3,2,2,19,3
51788,3,1,76001,1,2,7,4,9,4,3,2,1,11,3
51788,3,1,76001,1,2,7,4,9,4,3,2,1,10,3
51788,3,1,76001,1,2,7,4,9,4,3,2,2,38,1
51788,3,1,76001,1,2,7,4,9,4,3,2,2,17,3
52211,3,2,76001,2,1,1,4,9,3,1,1,1,62,1
52959,3,2,76834,4,1,1,3,9,3,1,2,1,12,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,4,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,23,1
52959,3,2,76834,4,1,1,3,9,3,1,2,2,2,3
52959,3,2,76834,4,1,1,3,9,3,1,2,2,13,8
53151,3,2,76147,2,1,1,4,5,3,1,1,2,8,3
53151,3,2,76147,2,1,1,4,5,3,1,1,1,4,3
53151,3,2,76147,2,1,1,4,5,3,1,1,2,38,1
53151,3,2,76147,2,1,1,4,5,3,1,1,1,42,2
53257,3,2,76834,3,2,4,4,9,5,1,2,1,71,1
53257,3,2,76834,3,2,4,4,9,5,1,2,2,60,2
53463,3,2,76001,3,1,1,5,1,5,1,1,2,48,2
53463,3,2,76001,3,1,1,5,1,5,1,1,1,25,3
53463,3,2,76001,3,1,1,5,1,5,1,1,2,19,3
53463,3,2,76001,3,1,1,5,1,5,1,1,1,52,1
